ID,USER_ID,WORKFLOW_STATE,SUBSCRIBED,UNREAD_ENTRY_COUNT,DISCUSSION_TOPIC_ID,META_TS,TS_CARGA,TS_PROCESSAMENT,IND_LAST,METADATA_FILENAME,METADATA_FILE_LAST_MODIFIED
7663635,150404,read,False,0,492948,2024-05-08 19:43:28.247000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7834720,32350,read,False,0,537501,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7834724,127785,read,False,0,473910,2024-04-03 19:08:27.804000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7663630,86601,read,False,0,546628,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7834723,149471,read,False,0,552525,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7834722,164995,read,False,0,545526,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7834721,224795,read,True,15,429799,2024-04-08 13:38:31.559000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7663629,74801,read,False,0,247768,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7834717,154256,read,False,0,511028,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7663623,102546,read,False,0,547367,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7663622,130587,read,False,0,535109,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7834716,161497,read,False,0,552753,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7663621,224030,read,False,0,543470,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7834715,147142,read,False,0,528169,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7663620,166749,read,False,0,546837,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7834714,182367,read,False,0,513427,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7663627,158647,read,False,0,542998,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7663626,118147,read,False,0,472322,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7834719,186426,read,False,0,515012,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7663625,179137,read,False,8,439069,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7663624,189595,read,True,7,515070,2024-04-22 10:15:51.726000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7834713,130481,read,False,0,492160,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7834712,164995,read,False,0,545457,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7834711,107202,read,False,0,552746,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7834710,395,read,False,0,438446,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7663619,126162,read,False,0,436167,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7663618,167345,read,False,4,468609,2024-04-13 19:22:29.394000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7663617,170497,read,False,0,543444,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085320,95792,read,False,0,512675,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085324,152611,read,False,0,512117,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085323,170410,read,False,0,511712,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085322,75367,read,True,10,459865,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085321,245404,read,False,0,507051,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085317,172404,read,False,0,494307,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085316,177143,read,False,0,446541,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085315,148221,read,False,0,499596,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085314,92355,read,False,0,513370,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085319,50395,read,False,0,513077,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085318,177755,read,False,0,513737,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085330,172547,read,True,19,486480,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085335,231584,read,True,0,459035,2024-04-22 21:57:07.324000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085334,184404,read,False,0,498545,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085333,170410,read,False,0,512006,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085332,181910,read,False,0,512375,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085328,234498,read,False,8,473936,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085327,17541,read,False,0,509762,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085326,111771,read,False,0,479465,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085325,184404,read,False,0,508559,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085329,231701,read,False,0,513787,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085302,165894,read,False,0,386573,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085301,192019,read,False,0,510863,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085300,29578,read,True,0,509848,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085313,152611,read,False,0,503485,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085312,156061,read,False,0,371759,2024-06-17 07:42:58.629000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085311,166977,read,False,0,499919,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085310,161810,read,False,0,494745,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085306,187238,read,False,0,503833,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085305,85193,read,False,0,503598,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085304,235554,read,False,0,513057,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085303,95954,read,False,0,497843,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085309,110132,read,False,0,511055,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
7085308,231584,read,False,0,489108,2024-03-28 20:40:40.061000,2025-02-18 14:15:16.179000,2025-02-18 14:58:31.664000,0,cd2/canvas/discussion_topic_participants/part-00004-9d601ff1-d2fe-42ce-b0cf-afc91d4e6cf2-c000.tsv.gz,2025-02-18 14:15:17
